metric,value,step
loss,0.7529653310775757,364.0
loss,0.7792925834655762,365.0
loss,0.8126857876777649,366.0
loss,0.7514944076538086,367.0
loss,0.8060696125030518,368.0
loss,0.7759548425674438,369.0
loss,0.7605093121528625,370.0
loss,0.8241121768951416,371.0
loss,0.7710248827934265,372.0
loss,0.7652124762535095,373.0
loss,0.8226776123046875,374.0
loss,0.8478485345840454,375.0
loss,0.8121187090873718,376.0
loss,0.7708460092544556,377.0
loss,0.789669394493103,378.0
loss,0.8157386779785156,379.0
loss,0.8659321069717407,380.0
loss,0.8024781942367554,381.0
loss,0.7683319449424744,382.0
loss,0.7592610120773315,383.0
loss,0.8094621896743774,384.0
loss,0.7549793720245361,385.0
loss,0.8166064023971558,386.0
loss,0.821804940700531,387.0
loss,0.7350244522094727,388.0
loss,0.7662199139595032,389.0
loss,0.7853163480758667,390.0
loss,0.7154754400253296,391.0
loss,0.8253320455551147,392.0
loss,0.7486180067062378,393.0
loss,0.7577078342437744,394.0
loss,0.7633883953094482,395.0
loss,0.747322142124176,396.0
loss,0.7789556980133057,397.0
loss,0.8187088370323181,398.0
loss,0.7586982250213623,399.0
loss,0.8030180931091309,400.0
loss,0.7828300595283508,401.0
loss,0.7581169009208679,402.0
loss,0.8187061548233032,403.0
loss,0.772721529006958,404.0
loss,0.7610174417495728,405.0
loss,0.8218148946762085,406.0
loss,0.8428395390510559,407.0
loss,0.808809757232666,408.0
loss,0.7701520919799805,409.0
loss,0.7854355573654175,410.0
loss,0.8133993148803711,411.0
loss,0.8702071309089661,412.0
loss,0.7992160320281982,413.0
loss,0.7679558992385864,414.0
loss,0.7537908554077148,415.0
loss,0.808001697063446,416.0
loss,0.7509117722511292,417.0
loss,0.8134534955024719,418.0
loss,0.8187792301177979,419.0
loss,0.7345346212387085,420.0
loss,0.7701975107192993,421.0
loss,0.7878437042236328,422.0
loss,0.7121353149414062,423.0
loss,0.8174678087234497,424.0
loss,0.7444543838500977,425.0
loss,0.7589884996414185,426.0
loss,0.7592297196388245,427.0
loss,0.7470002174377441,428.0
loss,0.7756953239440918,429.0
loss,0.8085336685180664,430.0
loss,0.7567903995513916,431.0
loss,0.806986927986145,432.0
loss,0.7801710367202759,433.0
loss,0.759135901927948,434.0
loss,0.8163647651672363,435.0
loss,0.7707731127738953,436.0
loss,0.7605189085006714,437.0
loss,0.8175889253616333,438.0
loss,0.8448938131332397,439.0
loss,0.8053641319274902,440.0
loss,0.7681264281272888,441.0
loss,0.7867316603660583,442.0
loss,0.8145344257354736,443.0
loss,0.8696929216384888,444.0
loss,0.7978357076644897,445.0
loss,0.7676637172698975,446.0
loss,0.7403196692466736,447.0
loss,0.8103621006011963,448.0
loss,0.7486872673034668,449.0
loss,0.8101615905761719,450.0
loss,0.8181281089782715,451.0
loss,0.7498345971107483,452.0
loss,0.776518702507019,453.0
loss,0.7906842231750488,454.0
loss,0.7162684202194214,455.0
loss,0.816190242767334,456.0
loss,0.7436783313751221,457.0
loss,0.7647520303726196,458.0
loss,0.7653285264968872,459.0
loss,0.7500302791595459,460.0
loss,0.7836819887161255,461.0
loss,0.8177620768547058,462.0
loss,0.7576016187667847,463.0
loss,0.7980595827102661,464.0
loss,0.7867410778999329,465.0
loss,0.756761908531189,466.0
loss,0.8179807662963867,467.0
loss,0.776185154914856,468.0
loss,0.7631796598434448,469.0
loss,0.8150030970573425,470.0
loss,0.8446540236473083,471.0
loss,0.8045365810394287,472.0
loss,0.7697356939315796,473.0
loss,0.7860653400421143,474.0
loss,0.8140050768852234,475.0
loss,0.8690019845962524,476.0
loss,0.7925700545310974,477.0
loss,0.7662179470062256,478.0
loss,0.7405728697776794,479.0
loss,0.8101855516433716,480.0
loss,0.7493426203727722,481.0
loss,0.8175637722015381,482.0
loss,0.8173024654388428,483.0
loss,0.734159529209137,484.0
loss,0.7745838165283203,485.0
loss,0.7890864610671997,486.0
loss,0.713384211063385,487.0
loss,0.8159407377243042,488.0
loss,0.7435299158096313,489.0
loss,0.7587794065475464,490.0
loss,0.757008969783783,491.0
loss,0.7535015940666199,492.0
loss,0.7802702784538269,493.0
loss,0.8108931183815002,494.0
loss,0.7507809400558472,495.0
loss,0.8036723136901855,496.0
loss,0.7805548310279846,497.0
loss,0.7548523545265198,498.0
loss,0.8221637606620789,499.0
loss,0.7725256681442261,500.0
loss,0.7535723447799683,501.0
loss,0.8184958100318909,502.0
loss,0.8416558504104614,503.0
loss,0.8045828342437744,504.0
loss,0.7654081583023071,505.0
loss,0.7815955877304077,506.0
loss,0.8154085278511047,507.0
loss,0.8713657855987549,508.0
loss,0.8035428524017334,509.0
loss,0.7676189541816711,510.0
loss,0.7349319458007812,511.0
loss,0.8097243905067444,512.0
loss,0.7432934045791626,513.0
loss,0.8129866123199463,514.0
loss,0.8180817365646362,515.0
loss,0.7373138666152954,516.0
loss,0.7674940824508667,517.0
loss,0.7904044389724731,518.0
loss,0.7050617933273315,519.0
loss,0.8133251667022705,520.0
loss,0.7403556108474731,521.0
loss,0.7605264186859131,522.0
loss,0.7614915370941162,523.0
loss,0.7488468885421753,524.0
loss,0.7719407677650452,525.0
loss,0.8075973987579346,526.0
loss,0.7536991834640503,527.0
loss,0.8049259185791016,528.0
loss,0.7821018695831299,529.0
loss,0.7594865560531616,530.0
loss,0.8172601461410522,531.0
loss,0.7691218256950378,532.0
loss,0.7600570917129517,533.0
loss,0.8162953853607178,534.0
loss,0.8432701826095581,535.0
loss,0.8032431602478027,536.0
loss,0.7634278535842896,537.0
loss,0.783474326133728,538.0
loss,0.8138752579689026,539.0
loss,0.8684805631637573,540.0
loss,0.7990171909332275,541.0
loss,0.7650398015975952,542.0
loss,0.7383623123168945,543.0
loss,0.8097355365753174,544.0
loss,0.7475423812866211,545.0
loss,0.8153191804885864,546.0
loss,0.8210292458534241,547.0
loss,0.7302891612052917,548.0
loss,0.76929771900177,549.0
loss,0.790306568145752,550.0
loss,0.7091891765594482,551.0
loss,0.7990007400512695,552.0
loss,0.7417283058166504,553.0
loss,0.7645307183265686,554.0
loss,0.7617613077163696,555.0
loss,0.7466298341751099,556.0
loss,0.7715976238250732,557.0
loss,0.8064093589782715,558.0
loss,0.74555903673172,559.0
loss,0.8080765604972839,560.0
loss,0.7786874175071716,561.0
loss,0.7600389719009399,562.0
loss,0.8222998976707458,563.0
loss,0.7617657780647278,564.0
loss,0.7538386583328247,565.0
loss,0.8148939609527588,566.0
loss,0.8400633931159973,567.0
loss,0.8014664649963379,568.0
loss,0.7626427412033081,569.0
loss,0.7826883792877197,570.0
loss,0.8113380074501038,571.0
loss,0.8701698780059814,572.0
loss,0.806382417678833,573.0
loss,0.7608339786529541,574.0
loss,0.7368647456169128,575.0
loss,0.8125699758529663,576.0
loss,0.7441120147705078,577.0
loss,0.8132668733596802,578.0
loss,0.8127207159996033,579.0
loss,0.7375940084457397,580.0
loss,0.7746745347976685,581.0
loss,0.7960783243179321,582.0
loss,0.7085659503936768,583.0
loss,0.8015449047088623,584.0
loss,0.7399364709854126,585.0
loss,0.7560510635375977,586.0
loss,0.7602798938751221,587.0
loss,0.7477716207504272,588.0
loss,0.7706317901611328,589.0
loss,0.8033385872840881,590.0
loss,0.7519766092300415,591.0
loss,0.8118532299995422,592.0
loss,0.7838881015777588,593.0
loss,0.756822407245636,594.0
loss,0.8159182071685791,595.0
loss,0.7609356045722961,596.0
loss,0.7563998699188232,597.0
loss,0.8178298473358154,598.0
loss,0.8411567211151123,599.0
loss,0.8043763637542725,600.0
loss,0.7576790452003479,601.0
loss,0.7789212465286255,602.0
loss,0.8139397501945496,603.0
loss,0.8638121485710144,604.0
loss,0.8018206357955933,605.0
loss,0.7649902105331421,606.0
loss,0.7341716289520264,607.0
loss,0.8016710877418518,608.0
loss,0.7417154908180237,609.0
loss,0.8174633979797363,610.0
loss,0.8170390129089355,611.0
loss,0.7317688465118408,612.0
loss,0.7692152261734009,613.0
loss,0.787248432636261,614.0
loss,0.710085391998291,615.0
loss,0.8003450632095337,616.0
loss,0.7362480759620667,617.0
loss,0.7537254095077515,618.0
loss,0.7555963397026062,619.0
loss,0.7459526658058167,620.0
loss,0.7717340588569641,621.0
loss,0.8096674084663391,622.0
loss,0.7472970485687256,623.0
loss,0.8121641278266907,624.0
loss,0.7722517848014832,625.0
loss,0.7559603452682495,626.0
loss,0.824454665184021,627.0
loss,0.7574078440666199,628.0
loss,0.7450002431869507,629.0
loss,0.8170840740203857,630.0
loss,0.8437709808349609,631.0
loss,0.7999029159545898,632.0
loss,0.7563333511352539,633.0
loss,0.7744430303573608,634.0
loss,0.8122836351394653,635.0
loss,0.8583984375,636.0
loss,0.7871905565261841,637.0
loss,0.7529346346855164,638.0
loss,0.7887439727783203,639.0
loss,0.8418554663658142,640.0
loss,0.7956339120864868,641.0
loss,0.8229331970214844,642.0
loss,0.824735164642334,643.0
loss,0.762885332107544,644.0
loss,0.7774226665496826,645.0
loss,0.7795281410217285,646.0
loss,0.722362756729126,647.0
loss,0.8205313682556152,648.0
loss,0.7387527823448181,649.0
loss,0.7634359002113342,650.0
loss,0.7660582065582275,651.0
loss,0.7413654327392578,652.0
loss,0.7987320423126221,653.0
loss,0.8365106582641602,654.0
loss,0.7618793249130249,655.0
loss,0.800471305847168,656.0
loss,0.7876603603363037,657.0
loss,0.7607890367507935,658.0
loss,0.8202971816062927,659.0
loss,0.7750153541564941,660.0
loss,0.763465166091919,661.0
loss,0.8111571669578552,662.0
loss,0.8518867492675781,663.0
loss,0.8071804046630859,664.0
loss,0.7670730352401733,665.0
loss,0.7886664867401123,666.0
loss,0.811214804649353,667.0
loss,0.8673843145370483,668.0
loss,0.7956885695457458,669.0
loss,0.7630290985107422,670.0
loss,0.7362980842590332,671.0
loss,0.8076646327972412,672.0
loss,0.7486985325813293,673.0
